Datetime,Resolution code,Elia Grid Load
2025-03-28T00:30:00+01:00,PT15M,7482.588
2025-03-28T00:15:00+01:00,PT15M,7624.373
2025-03-28T00:00:00+01:00,PT15M,7773.954
2025-03-27T23:45:00+01:00,PT15M,7807.418
2025-03-27T23:30:00+01:00,PT15M,7924.706
2025-03-27T23:15:00+01:00,PT15M,7930.968
2025-03-27T23:00:00+01:00,PT15M,8186.988
2025-03-27T22:45:00+01:00,PT15M,8157.885
2025-03-27T22:30:00+01:00,PT15M,8262.111
2025-03-27T22:15:00+01:00,PT15M,8243.693
2025-03-27T22:00:00+01:00,PT15M,8236.972
2025-03-27T21:45:00+01:00,PT15M,8203.088
2025-03-27T21:30:00+01:00,PT15M,8299.76
2025-03-27T21:15:00+01:00,PT15M,8492.926
2025-03-27T21:00:00+01:00,PT15M,8618.431
2025-03-27T20:45:00+01:00,PT15M,8735.106
2025-03-27T20:30:00+01:00,PT15M,8780.563
2025-03-27T20:15:00+01:00,PT15M,8950.443
2025-03-27T20:00:00+01:00,PT15M,9008.694
2025-03-27T19:45:00+01:00,PT15M,9158.628
2025-03-27T19:30:00+01:00,PT15M,9208.002
2025-03-27T19:15:00+01:00,PT15M,9174.177
2025-03-27T19:00:00+01:00,PT15M,9178.009
2025-03-27T18:45:00+01:00,PT15M,9197.711
2025-03-27T18:30:00+01:00,PT15M,8979.419
2025-03-27T18:15:00+01:00,PT15M,8686.605
2025-03-27T18:00:00+01:00,PT15M,8332.215
2025-03-27T17:45:00+01:00,PT15M,7899.176
2025-03-27T17:30:00+01:00,PT15M,7428.882
2025-03-27T17:15:00+01:00,PT15M,6920.406
2025-03-27T17:00:00+01:00,PT15M,6355.737
2025-03-27T16:45:00+01:00,PT15M,5863.606
2025-03-27T16:30:00+01:00,PT15M,5451.728
2025-03-27T16:15:00+01:00,PT15M,5114.815
2025-03-27T16:00:00+01:00,PT15M,4793.884
2025-03-27T15:45:00+01:00,PT15M,4179.905
2025-03-27T15:30:00+01:00,PT15M,3935.485
2025-03-27T15:15:00+01:00,PT15M,3679.427
2025-03-27T15:00:00+01:00,PT15M,3533.995
2025-03-27T14:45:00+01:00,PT15M,3124.416
2025-03-27T14:30:00+01:00,PT15M,2902.871
2025-03-27T14:15:00+01:00,PT15M,2854.414
